time,currency,impact,title
2026-08-03 14:00:00,USD,high,ISM Manufacturing PMI
2026-08-04 14:00:00,USD,high,JOLTS Job Openings
2026-08-05 12:15:00,USD,high,ADP Non-Farm Employment
2026-08-05 14:00:00,USD,high,ISM Services PMI (Non-Manufacturing)
2026-08-07 12:30:00,USD,high,Non-Farm Payrolls (NFP)
2026-08-07 12:30:00,USD,high,Unemployment Rate
2026-08-07 12:30:00,USD,high,Average Hourly Earnings
2026-08-03 12:45:00,USD,medium,S&P Global Manufacturing PMI
2026-08-04 12:30:00,USD,medium,Trade Balance
2026-08-04 14:00:00,USD,medium,Factory Orders
2026-08-06 12:30:00,USD,medium,Unit Labor Costs / Nonfarm Productivity
